parameter,type,shape,baseline,classification,screening_eligible,source_usage,review_note
C,Matrix{Float64},3x3,"summary(min=4.3800671000101816e-5, max=0.0004506370179043619, mean=0.00022649823378423999)",jointly_constrained_group_candidate,true,src/model_init/init_properties.jl:88,Define a structure-preserving perturbation; do not vary cells independently
G,Float64,scalar,62.0,structural_dimension,false,src/model_init/init_aggregates.jl:18; src/model_init/init_firms.jl:18; src/model_init/init_properties.jl:46; src/model_init/init_rest_of_the_world.jl:15,Fixed during sensitivity analysis
H_act,Float64,scalar,4743.0,structural_dimension,false,src/model_init/init_properties.jl:49; src/model_init/init_workers.jl:16,Fixed during sensitivity analysis
H_inact,Float64,scalar,4130.0,structural_dimension,false,src/model_init/init_properties.jl:50; src/model_init/init_workers.jl:17,Fixed during sensitivity analysis
I_s,Matrix{Float64},62x1,"summary(min=1.0, max=58.0, mean=10.064516129032258)",structural_dimension,false,src/model_init/init_firms.jl:16; src/model_init/init_firms.jl:17; src/model_init/init_firms.jl:48; src/model_init/init_firms.jl:49; src/model_init/init_properties.jl:55; src/model_init/init_properties.jl:56; src/model_init/init_workers.jl:18,Fixed during sensitivity analysis
J,Float64,scalar,156.0,structural_dimension,false,src/model_init/init_government.jl:20; src/model_init/init_properties.jl:53,Fixed during sensitivity analysis
L,Float64,scalar,312.0,structural_dimension,false,src/model_init/init_properties.jl:54; src/model_init/init_rest_of_the_world.jl:14,Fixed during sensitivity analysis
S,Float64,scalar,62.0,structural_dimension,false,,Fixed during sensitivity analysis
T,Float64,scalar,12.0,structural_dimension,false,,Fixed during sensitivity analysis
T_max,Float64,scalar,12.0,structural_dimension,false,,Fixed during sensitivity analysis
T_prime,Float64,scalar,54.0,structural_dimension,false,src/model_init/init_government.jl:23; src/model_init/init_properties.jl:47; src/model_init/init_rest_of_the_world.jl:29,Fixed during sensitivity analysis
a_sg,Matrix{Float64},62x62,"summary(min=0.0, max=0.8149348034258406, mean=0.016129032258064516)",jointly_constrained_group_candidate,true,src/model_init/init_properties.jl:86,Define a structure-preserving perturbation; do not vary cells independently
alpha_E,Float64,scalar,0.962809216044625,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:16,Define an economic validity range before screening
alpha_G,Float64,scalar,0.9905949533296431,independent_continuous_candidate,true,src/model_init/init_government.jl:14,Define an economic validity range before screening
alpha_I,Float64,scalar,0.9662360466537488,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:19,Define an economic validity range before screening
alpha_Y_EA,Float64,scalar,0.9635784504324201,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:26,Define an economic validity range before screening
alpha_pi_EA,Float64,scalar,0.38456173629534834,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:23,Define an economic validity range before screening
alpha_s,Matrix{Float64},62x1,"summary(min=10.428169405250205, max=480.9225632826067, mean=62.18141530981933)",jointly_constrained_group_candidate,true,src/model_init/init_firms.jl:55,Define a structure-preserving perturbation; do not vary cells independently
b_CFH_g,Matrix{Float64},62x1,"summary(min=0.0, max=0.7262566916890253, mean=0.016129032258064516)",jointly_constrained_group_candidate,true,src/model_init/init_properties.jl:81,Define a structure-preserving perturbation; do not vary cells independently
b_CF_g,Matrix{Float64},62x1,"summary(min=0.0, max=0.29932600550873123, mean=0.01612903225806451)",jointly_constrained_group_candidate,true,src/model_init/init_properties.jl:80,Define a structure-preserving perturbation; do not vary cells independently
b_HH_g,Matrix{Float64},62x1,"summary(min=0.0, max=0.17433924724137403, mean=0.016129032258064526)",jointly_constrained_group_candidate,true,src/model_init/init_properties.jl:82,Define a structure-preserving perturbation; do not vary cells independently
beta_E,Float64,scalar,0.39260026877953946,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:17,Define an economic validity range before screening
beta_G,Float64,scalar,0.09373211872949586,independent_continuous_candidate,true,src/model_init/init_government.jl:15,Define an economic validity range before screening
beta_I,Float64,scalar,0.35492769963078624,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:20,Define an economic validity range before screening
beta_Y_EA,Float64,scalar,0.5360029623199525,independent_continuous_candidate,true,src/model_init/init_rest_of_the_world.jl:27,Define an economic validity range before screening
